fecha,lluvia,temperatura
10/08/2023,0.75,19.5
11/08/2023,0,18
12/08/2023,0,14.4
13/08/2023,0,18.4
14/08/2023,0,27.3
15/08/2023,0,26.8
16/08/2023,0,30.5
17/08/2023,0,18.2
18/08/2023,0.25,18.7
19/08/2023,0,17.2
20/08/2023,0,16
21/08/2023,0,26.5
22/08/2023,0,21.1
23/08/2023,0,20.7
24/08/2023,0,15.9
25/08/2023,0,14.6
26/08/2023,0,15.6
27/08/2023,0,17.6
28/08/2023,0,18.8
29/08/2023,0,23.3
30/08/2023,0,26.4
31/08/2023,0,21.6
1/09/2021,17.25,25.7
2/09/2021,15,16
3/09/2021,0,18
4/09/2021,0.75,21.1
5/09/2021,0,17.9
6/09/2021,0.5,19.7
7/09/2021,1,18.3
8/09/2021,4,15.8
9/09/2021,0,16.8
10/09/2021,0,19.4
11/09/2021,0,22.6
12/09/2021,0,29.1
13/09/2021,0,22.2
14/09/2021,0,19.9
15/09/2021,0,24
16/09/2021,0,25.3
17/09/2021,0,26.6
18/09/2021,0,27.8
19/09/2021,0,24.3
20/09/2021,0,23.1
21/09/2021,0,19.5
22/09/2021,0.75,14.2
23/09/2021,0,22.5
24/09/2021,0,24.9
25/09/2021,0,25.6
26/09/2021,0,29.8
27/09/2021,0,28.6
28/09/2021,2.25,17.2
29/09/2021,0,24.2
30/09/2021,0.5,19.7
1/09/2022,0,23
2/09/2022,0,21.5
3/09/2022,0,22.3
4/09/2022,0,25.4
5/09/2022,0,26.1
6/09/2022,0,25.6
7/09/2022,0,30
8/09/2022,0,25.8
9/09/2022,0,18.3
10/09/2022,0,23
11/09/2022,0,20.1
12/09/2022,0,24.6
13/09/2022,0,26.7
14/09/2022,0,27.5
15/09/2022,0,25.9
16/09/2022,0,27.8
17/09/2022,0,28.4
18/09/2022,9.75,20.1
19/09/2022,0,17.2
20/09/2022,3,14.7
21/09/2022,0.5,18.8
22/09/2022,0,21.7
23/09/2022,0,25.1
24/09/2022,0,26.6
25/09/2022,0,24.9
26/09/2022,0,26.4
27/09/2022,0,29.1
28/09/2022,0,25.6
29/09/2022,0,22.8
30/09/2022,0,26
1/09/2023,0,27.1
2/09/2023,15.75,17.3
3/09/2023,7.75,11.3
4/09/2023,0,15
5/09/2023,0,16.3
6/09/2023,0,14.4
7/09/2023,0.25,17.2
8/09/2023,0,18.9
9/09/2023,0,21.4
10/09/2023,0,26.2
11/09/2023,0,27
12/09/2023,0,20.2
13/09/2023,0,21.5
14/09/2023,0,22.4
15/09/2023,0,27.5
16/09/2023,0,30.8
17/09/2023,0,23.2
18/09/2023,0,20.4
19/09/2023,0,20.6
20/09/2023,0,19
21/09/2023,0,24.2
22/09/2023,0,22.7
23/09/2023,0,22.1
24/09/2023,0,24.5
25/09/2023,0,22.6
26/09/2023,0,21.4
27/09/2023,0,25.1
28/09/2023,0,24.5
29/09/2023,0,23.6
30/09/2023,0,22.3
1/10/2021,0,25.8
2/10/2021,0.5,20.4
3/10/2021,0,21.1
4/10/2021,0,25.9
5/10/2021,0,25.2
6/10/2021,0,21.3
7/10/2021,0,21.1
8/10/2021,0,22.5
9/10/2021,0,25.8
10/10/2021,1,23.3
11/10/2021,0.25,27.9
12/10/2021,0,27.7
13/10/2021,32.25,19.3
14/10/2021,0,26
15/10/2021,0,21.4
16/10/2021,0,22.7
17/10/2021,0,27.3
18/10/2021,0,27.7
19/10/2021,0,29.7
20/10/2021,0,29.6
21/10/2021,0,30.7
22/10/2021,0.25,26.5
23/10/2021,9.75,24.2
24/10/2021,0,28.3
25/10/2021,0,35.4
26/10/2021,0,38.6
27/10/2021,0,36.4
28/10/2021,0,36.6
29/10/2021,0,35
30/10/2021,0,36.1
31/10/2021,0,27.4
1/10/2022,0,29.5
2/10/2022,0,30.3
3/10/2022,0,29.2
4/10/2022,0,27
5/10/2022,4,25.5
6/10/2022,0,25.4
7/10/2022,0,31.5
8/10/2022,0,21.7
9/10/2022,0,24
10/10/2022,0,25.1
11/10/2022,0,27.6
12/10/2022,0,31.6
13/10/2022,0,21.3
14/10/2022,4.25,20.2
15/10/2022,8.75,16.2
16/10/2022,0.25,23.5
17/10/2022,0,25.1
18/10/2022,0,24
19/10/2022,0,27.3
20/10/2022,0.75,26
21/10/2022,0,33.3
22/10/2022,0,19.2
23/10/2022,0,25.6
24/10/2022,0,31.3
25/10/2022,0,34.9
26/10/2022,14.75,27.8
27/10/2022,0,31.4
28/10/2022,0,36
29/10/2022,0,35.4
30/10/2022,5.5,23.6
31/10/2022,0,20.7
1/10/2023,0,25.8
2/10/2023,0,26.1
3/10/2023,2.25,22.4
4/10/2023,0,22.4
5/10/2023,0,27.1
6/10/2023,0,28.7
7/10/2023,0,28.6
8/10/2023,0,31.1
9/10/2023,0,32.8
10/10/2023,2.25,33.4
11/10/2023,14.5,19.5
12/10/2023,0,19
13/10/2023,0,21.6
14/10/2023,0,24.9
15/10/2023,0,28
16/10/2023,0,33.1
17/10/2023,0,23.7
18/10/2023,0,22.9
19/10/2023,0.25,26.8
20/10/2023,0,30.3
21/10/2023,0,27.3
22/10/2023,30.25,27.1
23/10/2023,39.75,27.1
24/10/2023,0.25,18.9
25/10/2023,0,23.1
26/10/2023,0,25.3
27/10/2023,6,28.2
28/10/2023,0.25,28.6
29/10/2023,0,33
30/10/2023,3.75,21.9
31/10/2023,0,15.8
